id,name,smiles,note
139,selleck_139,[C@H]1(O[C@H]2O[C@H]([C@@H](O)[C@H](O)[C@H]2N)CN)[C@@H](O)C(O[C@H]2C(O[C@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3N)CO)[C@@H](N)C[C@@H](N)[C@@H]2O)O[C@@H]1CO.O=S(=O)(O)O,
140,selleck_140,[C@H]12[C@@H]([C@@H](c3cc4c(cc3[C@@H]1O)OCO4)c1cc(c(c(c1)OC)OC)OC)C(=O)OC2,
141,selleck_141,c1c(c2c(C(=O)C=C(C2=O)C(CC=C(C)C)O)c(c1)O)O,
142,selleck_142,[C@]12([C@H](/C(=C/C=C\3/C(=C)CC[C@H](O)C3)/CCC1)CC[C@@H]2[C@@H](CCCC(C)C)C)C,
143,selleck_143,CC(CCC(=O)NCCS(=O)(=O)[O-])C1CCC2C1(C(CC1C2C(CC2C1(CCC(C2)O)C)O)O)C.O.[Na+],
144,selleck_144,[C@]12([C@@]3([C@H](/C(=C(\CCC=C(C)C)/C(=O)O)/[C@H](C3)OC(=O)C)C[C@H]([C@H]1[C@@]1([C@H]([C@@H]([C@H](O)CC1)C)CC2)C)O)C)C,
145,selleck_145,C(/C=C(/C=C/C=C(/C=C/C1=C(CCCC1(C)C)C)\C)\C)O,
146,selleck_146,C(C1=C2N=C(C1C)/C=c/1\[nH]/c(=C\C3=N/C(=C\C4=N/C(=C\2)/C(=C4C)CCC(=O)O)/C(C3C=C)C)/c(c1C=C)C)CC(=O)O,
147,selleck_147,[C@]12([C@@]([C@@H](C3=CC(=O)OC3)CC1)([C@@H](C[C@H]1[C@H]2CC[C@H]2[C@@]1(CC[C@@H](C2)O[C@H]1C[C@@H]([C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@@H]([C@H](O)[C@H](O3)C)O)[C@H](O2)C)O)[C@H](O1)C)O)C)O)C)O,
148,selleck_148,c1ccncc1C1N(C(=O)CC1)C,
149,selleck_149,[C@@H]12[C@H]([C@H](C=CC1=C[C@@H](C[C@@H]2OC(=O)[C@H](CC)C)C)C)CC[C@H]1OC(=O)C[C@H](O)C1,
150,selleck_150,c1c(CC2NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C3N=C(SC3)C(N)C(CC)C)CC(C)C)CCC(=O)O)C(CC)C)CCCCNC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CC2N=CN=C2)CC(=O)O)CC(=O)N)CCCN)C(CC)C)cccc1.[Zn],
151,selleck_151,[C@@H]1(C(Cc2cncn2C)COC1=O)CC.O=[N+]([O-])O,
152,selleck_152,[C@@H](NC(=O)[C@@H](NC(=O)CCCCC(CC)C)CCN)(C(=O)N[C@H](C(=O)N[C@@H]1C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC1)[C@H](O)C)CCN)CCN)CC(C)C)CC(C)C)CCN)CCN)[C@H](O)C.O=S(=O)(O)O,
153,selleck_153,CC12C(CC(C1(C)C)CC2)OC(=O)C,
154,selleck_154,[C@H]1([C@H]([C@H](O[C@H]2O[C@@H]([C@@H](O)C[C@H]2N)CN)[C@@H](N)C[C@H]1N)O)O[C@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)N)CO,
155,selleck_155,[C@@]123[C@@H](N(c4c1cc(c(c4)OC)[C@@]1(c4c(c5c([nH]4)cccc5)CCN4C[C@@H](C1)C[C@](O)(C4)CC)C(=O)OC)C=O)[C@](O)([C@H](OC(=O)C)[C@]1([C@@H]2N(CC3)CC=C1)CC)C(=O)OC.O=S(=O)(O)O,
156,selleck_156,[C@@H]12c3c4c5ccccc5n3[C@](C[C@@]1(CCCN2CC4)CC)(C(=O)OC)O,
157,selleck_157,c1c(c(ccc1CC=C)O)OC,
158,selleck_158,C12CC3C(O)(c4c(Cl)ccc(c4C(=C3C(=O)C1(O)C(=O)/C(=C(\O)/N)/C(=O)C2N(C)C)O)O)C.[Cl-].[H+],
159,selleck_159,O.[C@@H]12C(C3(O)C(C[C@H]1O)([C@H](CC3)C1=CC(=O)OC1)C)CCC1(O)C2([C@H](O)C[C@H](OC2OC(C(O)C(O)C2O)C)C1)CO.O.O.O.O.O.O.O,
160,selleck_160,c1c(ccc(c1OC)O)CNC(=O)CCCCCCCC,
161,selleck_161,[C@@H]1(O[C@H]2OC[C@](O)([C@H](NC)[C@H]2O)C)[C@@H](O)[C@H](O[C@H]2O[C@@H](CC[C@H]2N)[C@H](NC)C)[C@@H](N)C[C@H]1N.[C@@H]1(O[C@H]2OC[C@](O)([C@H](NC)[C@H]2O)C)[C@@H](O)[C@H](O[C@H]2O[C@@H](CC[C@H]2N)[C@H](N)C)[C@@H](N)C[C@H]1N.[C@@H]1(O[C@H]2OC[C@](O)([C@H](NC)[C@H]2O)C)[C@@H](O)[C@H](O[C@H]2O[C@@H](CC[C@H]2N)CN)[C@@H](N)C[C@H]1N.O=S(=O)(O)O,
162,selleck_162,Cc1cc2c(cc1C)n(c1nc(=O)[nH]c(=O)c1n2)CC(C(C(COP(=O)(O)O)O)O)[O-].[Na+],
163,selleck_163,c1cnc2c(c1C(O)C1N3CC(C(C1)CC3)CC)cc(OC)cc2.[Cl-].[H+],
164,selleck_164,C(c1c(c2c(c(c1OC)C)COC2=O)O)/C=C(/CCC(=O)O)\C,
165,selleck_165,c1nc2c(c(=O)n(C)c(=O)n2C)n1C,
166,selleck_166,[C@H]12N(C[C@@H](C=C1c1c3c(c[nH]c3ccc1)C2)C(=O)N[C@H](CO)C)C.O=C(O)/C=C\C(=O)O,
167,selleck_167,[C@@]123[C@H]4[C@@](COC)([C@@H](C[C@@H]1OC)O)CN(C2[C@@H]([C@@]1([C@@H]2[C@H]3C[C@]([C@@H](OC)[C@@H]1O)(O)[C@@H]2OC(=O)c1ccccc1)OC(=O)C)[C@@H]4OC)CC,
168,selleck_168,[C@@]123C4N(c5c1cc(OC)c(c5)OC)C(=O)CC1OCC=C5[C@@H]([C@H]41)C[C@@H]2N(CC3)C5,
169,selleck_169,[C@@]123[C@@H]4[C@H]5[C@@H]6C(=CCO[C@H]5CC(=O)N4c4c1cccc4)CN([C@H]2C6)CC3,
170,selleck_170,c1c(C(c2ccc(cc2)N(C)C)c2ccc(N(C)C)cc2)ccc(c1)N(C)C,
171,selleck_171,[C@@H]12C[C@@H]3[C@](O)(c4c(C(=C3C(=O)[C@]1(O)C(=O)/C(=C(\O)/N)/C(=O)[C@H]2N(C)C)O)c(ccc4)O)C,
172,selleck_172,O=C1C(NC(=O)N1)NC(=O)N,
173,selleck_173,[C@@H]12[C@@]3(OC(=O)C)[C@H](OC3)C[C@H](O)[C@]1(C(=O)[C@H](O)C1=C([C@@H](O)C[C@@](O)([C@H]2OC(=O)c2ccccc2)C1(C)C)C)C,
174,selleck_174,[C@@H]1(CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C)O,
175,selleck_175,[C@]123[C@H]4O[C@](C)(OO1)CC[C@H]2[C@H](C)CC[C@H]3[C@@H](C)C(=O)O4,
176,selleck_176,[C@@H]12[C@H]([C@H]3[C@]([C@@H]([C@@H](CCC(=O)O)C)CC3)(C)CC1)CC[C@H]1[C@]2(C)CC[C@H](C1)O,
